id,name,type,symptom_keywords,cause_tags,diet_compatibility,lifestyle_tags,age_group_tags,gender_tags,food_sources,description,citation
1,Iron,mineral,"anemia, hair loss, pale skin, shortness of breath, dizziness","deficiency,blood","vegan|veg|nonveg","moderately_active","18-24|25-34","female","lentils, spinach, tofu","Supports oxygen transport and red blood cell production","https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/"
2,Vitamin B12,vitamin,"numbness, memory loss, hair thinning, anemia, tingling","deficiency,neurological,blood","veg|nonveg","sedentary|moderately_active","25-34|35-50","all","eggs, dairy, fish","Supports nerve function and red blood cell formation","https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/"
3,Folate (Vitamin B9),vitamin,"anemia, mouth sores, poor concentration, pregnancy deficiency","deficiency,blood","vegan|veg|nonveg","moderately_active","18-24|25-34","female","spinach, beans, citrus fruits","Supports cell division and blood formation","https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/"
4,Vitamin D,vitamin,"bone pain, frequent infections, muscle weakness, hair loss","deficiency,hormonal,immunity","veg|nonveg","sedentary|moderately_active","25-34|35-50","all","sunlight, mushrooms, fortified milk","Supports bone health and immune regulation","https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/"
5,Zinc,mineral,"poor wound healing, acne, hair loss, loss of taste","deficiency,immunity,skin","vegan|veg|nonveg","active|moderately_active","18-24|25-34","all","pumpkin seeds, legumes","Supports immune response and skin repair","https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/"
6,Biotin (Vitamin B7),vitamin,"brittle nails, hair thinning, skin rash","deficiency,skin","vegan|veg|nonveg","sedentary","18-24|25-34","all","eggs, nuts, seeds","Supports hair, skin, and nail structure","https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/"
7,Vitamin A,vitamin,"night blindness, dry eyes, dry skin, frequent infections","deficiency,vision,immunity","veg|nonveg","sedentary","18-24|25-34","all","carrots, sweet potatoes, milk","Supports vision and immune defense","https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/"
8,Vitamin C,vitamin,"bleeding gums, slow wound healing, frequent colds","immunity,collagen","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50","all","oranges, kiwi, peppers","Supports collagen synthesis and immune defense","https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/"
9,Magnesium,mineral,"muscle twitching, leg cramps, poor sleep, palpitations","neurological,muscle","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50","all","spinach, almonds","Supports nerve and muscle relaxation","https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/"
10,Calcium,mineral,"bone fractures, tooth weakness, muscle spasms","deficiency,bone","veg|nonveg","sedentary|moderately_active","25-34|35-50","all","milk, yogurt, leafy greens","Supports bone density and muscle contraction","https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/"
11,Iodine,mineral,"neck swelling, weight gain, cold intolerance, hair loss","hormonal,thyroid","veg|nonveg","sedentary","25-34|35-50","all","iodized salt, seaweed","Supports thyroid hormone production","https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/"
12,Selenium,mineral,"thyroid imbalance, brittle hair, weak immunity","hormonal,antioxidant","vegan|veg|nonveg","moderately_active","25-34|35-50","all","brazil nuts, seafood","Supports thyroid and antioxidant enzymes","https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/"
13,Protein,macronutrient,"muscle wasting, slow healing, hair thinning","deficiency,muscle","veg|nonveg","active","18-24|25-34","all","eggs, lentils, beans","Supports tissue repair and growth","https://medlineplus.gov/protein.html"
14,Omega-3,fatty acid,"joint stiffness, dry eyes, memory problems","inflammation,neurological","nonveg","active|moderately_active","25-34|35-50","all","fish, flaxseed, chia seeds","Supports brain and joint health","https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/"
15,Probiotics,supplement,"bloating, diarrhea, weak immunity, gut imbalance","digestive,immunity","veg|nonveg","sedentary|moderately_active","18-24|25-34","all","yogurt, fermented foods","Supports healthy gut bacteria","https://medlineplus.gov/probiotics.html"
16,Psyllium Husk,fiber,"chronic constipation, hard stools","digestive","vegan|veg|nonveg","sedentary","18-24|25-34","all","psyllium husk","Improves bowel regularity","https://medlineplus.gov/druginfo/natural/1007.html"
17,Ginger Extract,phytonutrient,"nausea, motion sickness, stomach cramps","digestive,inflammation","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","ginger root","Supports digestion and reduces nausea","https://medlineplus.gov/druginfo/natural/961.html"
18,Peppermint Oil,herbal,"irritable bowel, abdominal pain, bloating","digestive","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","peppermint leaves","Relieves gut spasms and bloating","https://medlineplus.gov/druginfo/natural/308.html"
19,Curcumin,polyphenol,"joint swelling, chronic inflammation, arthritis","inflammation,joint","vegan|veg|nonveg","active|moderately_active","25-34|35-50","all","turmeric","Reduces inflammatory pathways","https://medlineplus.gov/druginfo/natural/662.html"
20,Coenzyme Q10,antioxidant,"muscle pain, statin side effects, low stamina","mitochondrial,antioxidant","nonveg","active|moderately_active","25-34|35-50","all","meat, fish","Supports cellular energy production","https://medlineplus.gov/druginfo/natural/938.html"
21,Melatonin,hormone,"difficulty falling asleep, jet lag, disrupted sleep cycle","sleep,hormonal","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","supplement form","Regulates circadian rhythm and sleep timing","https://medlineplus.gov/druginfo/natural/940.html"
22,L-Theanine,amino acid,"racing thoughts, nervousness, poor focus","neurological,stress","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","green tea","Promotes relaxation without drowsiness","https://medlineplus.gov/druginfo/natural/1059.html"
